id,member_id,loan_amnt,funded_amnt,term,apr,int_rate,exp_default_rate,service_fee_rate,installment,grade,sub_grade,emp_name,emp_length,emp_status,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,credit_pull_d,review_status_d,review_status,url,desc,purpose,title,addr_city,addr_state,msa,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_loan_delinq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec_gt_100,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,total_il_high_credit_limit,mths_since_oldest_il_open,num_rev_accts,mths_since_recent_bc_dlq,initial_list_status,ils_exp_d,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt
"4197165","5339531","28000.0","27975.0","60","19.68","17.27","4.95","0.45","699.95","C","C5","Vonage","5 years","Employed","MORTGAGE","105300.0","TRUE","04-04-2013 10:40:18","04-18-2013 10:56:00","04-04-2013 10:56:00","04-04-2013 10:32:53","04-05-2013 13:15:17","Approved","https://www.lendingclub.com/browse/loanDetail.action?loan_id=4197165"," ","Debt consolidation","Debt Consolidation","WILLINGBORO","NJ","","0","2","249","100.0","96.9","12.24","1","0.0","01-09-1995 09:32:53","695","699","2","19"," ","6"," ","19","55","1","7","0","0","63301","8578.0","66.0","8000","22","56977","111","11","19","f","04-04-2013 14:00:00","0","2","0","0","0","19","7","1","6","288977","268540","38363","7","2","2","75","1","0","0","10","222","3","180","14","13000","3","4","0",
"4197205","5339573","35000.0","34425.0","60","26.33","23.76","8.90","0.47","1002.01","F","F4","OFD Engineering","6 years","Employed","RENT","160000.0","FALSE","04-04-2013 11:19:03","04-18-2013 11:32:50","04-04-2013 11:32:50","04-04-2013 11:15:31"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=4197205"," ","Debt consolidation","Debt Loan ","Houston","TX","","0","4","1946","100.0","95.3","18.36","1","0.0","12-06-1989 10:15:31","665","669","3","11"," ","2"," ","11","19","3","18","0","0","72985","49895.0","76.5","41300","30","56006","206","18","11","f","04-04-2013 14:00:00","0","0","0","0","0","null","18","1","3","193106","139723","7762","9","6","6","96","0","0","0","9","206","14","284","3","65200","14","14","0",
"4235089","5407290","5700.0","5600.0","36","23.50","19.72","6.25","0.71","211.03","D","D5","","n/a","Other","OWN","21720.0","FALSE","04-06-2013 00:29:58","04-20-2013 00:41:13","04-06-2013 06:01:35","04-06-2013 00:29:44"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=4235089"," ","Credit card refinancing","creditcardconsolidation","SOUTH CHESTERFIELD","VA","","0","3","0","100.0","100.2","22.6","0","0.0","11-04-2001 23:29:44","660","664","1"," "," ","3"," "," ","3","0","9","0","0","12917","12917.0","62.1","8300","23","0","67","19"," ","w","04-06-2013 18:00:00","0","0","0","0","0","null","9","3","3","20800","12917","1615","11","4","4","100","0","0","0","4","74","7","139","3","20800","7","9","0",
"4187304","5329670","24000.0","22625.0","60","18.17","15.80","4.40","0.45","581.09","C","C3","Burke Motor Group","10+ years","Employed","MORTGAGE","58000.0","FALSE","04-04-2013 16:10:42","04-18-2013 16:17:11","04-04-2013 16:17:11","04-04-2013 16:05:25"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=4187304"," ","Debt consolidation","debt","CAPE MAY COURT HOUSE","NJ","","0","2","24720","28.6","49.2","19.24","0","0.0","05-06-1984 16:05:25","675","679","0","31"," ","7"," ","31","7","4","10","0","0","27094","23980.0","48.8","48700","20","11011","120","11","31","f","04-04-2013 18:00:00","0","0","0","0","0","null","10","1","7","247586","206881","20688","9","6","7","85","0","0","0","5","143","6","352","7","49100","6","8","0",
"4187359","5329728","28000.0","26300.0","60","18.67","16.29","4.70","0.45","685.23","C","C4","INFOTEC INTERNATIONAL","7 years","Employed","OWN","95000.0","FALSE","04-04-2013 16:34:25","04-18-2013 16:43:59","04-04-2013 16:43:59","04-04-2013 16:32:35"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=4187359"," ","Credit card refinancing","Credit card refinancing","MIAMI","FL","","0","4","8451","83.3","81.2","12.38","0","0.0","02-15-1988 15:32:35","685","689","0"," "," ","9"," "," ","38","0","11","0","0","36382","36382.0","77.7","44833","24","0"," ","24"," ","f","04-04-2013 18:00:00","0","0","0","0","0","null","11","1","9","46833","36382","4042","15","6","7","100","0","0","0","0"," ","6","306","9","46833","6","11","0",
"3774687","4806838","30000.0","25775.0","60","22.97","20.49","6.55","0.46","803.02","E","E1","Ungerer & Company","< 1 year","Employed","OWN","102000.0","FALSE","04-03-2013 19:43:54","04-17-2013 19:53:14","04-03-2013 19:53:14","03-18-2013 16:01:52"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=3774687"," ","Home improvement","Home improvement","JERSEY CITY","NJ","","0","1","816","100.0","96.8","21.59","0","0.0","08-02-1987 16:01:52","685","689","2"," "," ","4"," "," ","67","0","14","0","0","74333","31603.0","84.3","25700","30","43496","144","17"," ","w","04-04-2013 18:00:00","0","0","0","0","0","null","14","1","4","86117","74333","5310","14","7","7","100","0","0","0","11","144","10","312","67","37500","10","10","0",
"4244651","5416806","22750.0","22025.0","60","19.68","17.27","4.95","0.45","568.71","C","C5","rr donnelley","10+ years","Employed","MORTGAGE","52000.0","FALSE","04-05-2013 08:09:09","04-19-2013 08:21:04","04-05-2013 10:00:42","04-05-2013 07:57:49"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=4244651","  Borrower added on 04/05/13 > Consolidating credit cards to be paid off within 5 years.<br>","Debt consolidation","DebtCon","fairfield","PA","","0","5","16087","37.5","60.7","13.38","0","0.0","05-25-1975 07:57:49","675","679","1"," ","60","0"," "," ","16","2","16","1","1","29941","29941.0","56.6","40900","38","0","126","33"," ","f","04-05-2013 10:00:00","0","0","0","0","0","null","16","1","8","227300","196075","14005","22","7","10","100","0","0","0","3","126","9","461","8","52900","9","15","0",
"4187147","5329496","35000.0","32525.0","60","21.50","19.05","5.90","0.46","908.89","D","D4","","10+ years","Self-employed","MORTGAGE","120000.0","FALSE","04-04-2013 11:25:12","04-18-2013 12:05:25","04-04-2013 12:05:25","04-04-2013 11:20:12"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=4187147","  Borrower added on 04/04/13 > pay off cedit cards lowes royal bank discover home depot<br>","Debt consolidation","consolidate","WILLIAMSTOWN","NJ","","0","5","14355","0.0","49.1","15.33","0","0.0","04-02-2002 10:20:12","710","714","3"," "," ","1"," "," ","6","6","12","0","0","67266","23610.0","46.8","28200","33","51956","134","18"," ","f","04-04-2013 14:00:00","0","0","0","0","0","null","12","3","6","345053","297822","24819","6","2","5","100","0","0","0","9","134","5","111","6","50400","6","9","0",
"4197029","5339384","25000.0","21425.0","60","14.41","12.12","3.20","0.44","557.63","B","B3"," dtv white communication llc","8 years","Employed","MORTGAGE","89000.0","FALSE","04-04-2013 06:38:53","04-18-2013 06:51:46","04-04-2013 06:51:46","04-04-2013 06:38:22"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=4197029","  Borrower added on 04/04/13 > need to combine c.c. debt into one monthly payment   thanks<br>","Credit card refinancing","fresh start","sullivan","MO","","0","6","31635","0.0","49.4","21.03","0","0.0","09-25-1997 06:38:22","765","769","4"," "," ","1"," "," ","8","7","16","0","0","69143","31431.0","38.7","62500","45","56389","105","24"," ","w","04-04-2013 22:00:00","0","0","0","0","0","null","16","4","3","334015","247996","17714","18","4","7","100","0","0","0","13","169","7","189","8","81300","7","11","0",
"4166446","5308737","20000.0","17125.0","60","15.42","13.11","3.50","0.44","456.19","B","B4","PCV Murcor","1 year","Employed","MORTGAGE","100000.0","FALSE","04-04-2013 15:26:04","04-18-2013 15:30:09","04-04-2013 15:30:09","04-04-2013 15:25:50"," ","Submitted","https://www.lendingclub.com/browse/loanDetail.action?loan_id=4166446"," ","Debt consolidation","Debt Consolidation","Henderson","NV","","0","4","5743","50.0","56.5","15.05","4","0.0","10-25-1997 15:25:50","705","709","1","6"," ","6","6","13","5","4","13","0","0","42847","10072.0","39.0","13200","29","47583"," ","17","20","f","04-04-2013 18:00:00","0","0","0","0","0","null","13","2","5","530790","417590","32122","10","4","4","75","0","0","0","6","118","6","188","5","25800","6","8","0",
